Split,View,Hits@1,Hits@3,Hits@5,Hits@10
head,optimistic,0.03366278500831784,0.07853018886388101,0.1075447695469224,0.15906644485761817
head,realistic,0.03366278500831784,0.07853018886388101,0.1075447695469224,0.15906644485761817
head,pessimistic,0.03366278500831784,0.07853018886388101,0.1075447695469224,0.15906644485761817
tail,optimistic,0.117966532928858,0.2267834426069087,0.2802133281142969,0.3571288775809766
tail,realistic,0.117966532928858,0.2267834426069087,0.2802133281142969,0.3571288775809766
tail,pessimistic,0.117966532928858,0.2267834426069087,0.2802133281142969,0.3571288775809766
both,optimistic,0.07581465896858793,0.15265681573539486,0.19387904883060963,0.2580976612192974
both,realistic,0.07581465896858793,0.15265681573539486,0.19387904883060963,0.2580976612192974
both,pessimistic,0.07581465896858793,0.15265681573539486,0.19387904883060963,0.2580976612192974
